proxy	time	saved	missed	error
92.242.255.85:21213	2018-08-24 11:44:42.569214	1	0	0
200.124.59.116:53281	2018-08-24 11:45:07.118173	1	0	0
78.108.108.192:21231	2018-08-24 11:45:16.259630	1	0	0
89.250.19.173:8080	2018-08-24 11:45:22.628721	0	1	0
189.84.115.58:8080	2018-08-24 11:45:25.395401	0	1	0
95.67.174.94:8080	2018-08-24 11:45:37.445610	0	1	1
91.191.3.114:53281	2018-08-24 11:46:03.205221	0	1	0
105.22.72.110:8080	2018-08-24 11:46:20.624222	1	0	0
172.92.73.61:53281	2018-08-24 11:46:28.010659	1	0	0
92.242.255.85:21213	2018-08-24 11:51:50.945184	1	0	0
200.124.59.116:53281	2018-08-24 11:52:06.807565	1	0	0
78.108.108.192:21231	2018-08-24 11:52:17.724767	1	0	0
89.250.19.173:8080	2018-08-24 11:52:30.873760	0	1	0
189.84.115.58:8080	2018-08-24 11:53:37.330982	0	1	1
95.67.174.94:8080	2018-08-24 11:53:57.856827	0	1	1
91.191.3.114:53281	2018-08-24 11:55:04.571667	0	1	1
105.22.72.110:8080	2018-08-24 11:55:21.474160	1	0	0
172.92.73.61:53281	2018-08-24 11:55:32.628181	1	0	0
37.247.28.21:21231	2018-08-24 11:55:53.751706	1	0	0
103.204.231.166:21776	2018-08-24 11:56:06.732898	1	0	1
78.156.225.170:41258	2018-08-24 11:56:15.049986	1	0	0
41.78.216.82:53281	2018-08-24 11:56:20.555536	0	1	0
83.144.67.2:21231	2018-08-24 11:56:42.992988	1	0	0
176.99.114.47:6666	2018-08-24 11:56:51.278226	1	0	0
140.227.54.68:3129	2018-08-24 11:56:57.690171	1	0	0
167.99.166.163:8080	2018-08-24 11:57:00.651813	1	0	0
92.242.255.85:21213	2018-08-24 12:01:40.880323	1	0	0
200.124.59.116:53281	2018-08-24 12:02:24.288408	1	0	1
78.108.108.192:21231	2018-08-24 12:02:33.785863	1	0	0
95.67.174.94:8080	2018-08-24 12:02:39.917948	1	0	0
91.191.3.114:53281	2018-08-24 12:02:58.595589	0	1	0
105.22.72.110:8080	2018-08-24 12:03:25.656558	1	0	0
172.92.73.61:53281	2018-08-24 12:04:32.293679	1	0	1
37.247.28.21:21231	2018-08-24 12:04:48.722192	1	0	1
103.204.231.166:21776	2018-08-24 12:05:08.135168	0	1	0
78.156.225.170:41258	2018-08-24 12:05:47.457299	1	0	0
41.78.216.82:53281	2018-08-24 12:05:52.414435	0	1	0
83.144.67.2:21231	2018-08-24 12:06:00.576796	1	0	0
176.99.114.47:6666	2018-08-24 12:06:15.709868	1	0	0
140.227.54.68:3129	2018-08-24 12:06:28.764681	1	0	0
167.99.166.163:8080	2018-08-24 12:06:31.565780	1	0	0
185.133.225.210:21231	2018-08-24 12:06:38.503997	1	0	0
140.227.53.72:3129	2018-08-24 12:06:52.752966	1	0	0
201.16.148.169:8080	2018-08-24 12:06:56.973455	1	0	0
185.93.3.123:8080	2018-08-24 12:06:58.216496	0	1	0
92.242.255.85:21213	2018-08-24 12:21:04.200863	1	0	0
200.124.59.116:53281	2018-08-24 12:21:26.112410	1	0	0
78.108.108.192:21231	2018-08-24 12:21:54.898518	1	0	0
95.67.174.94:8080	2018-08-24 12:22:03.652404	1	0	0
105.22.72.110:8080	2018-08-24 12:22:14.700183	1	0	0
172.92.73.61:53281	2018-08-24 12:22:23.597822	1	0	0
37.247.28.21:21231	2018-08-24 12:22:32.104730	1	0	0
103.204.231.166:21776	2018-08-24 12:22:40.702627	0	1	0
78.156.225.170:41258	2018-08-24 12:22:51.049996	1	0	0
41.78.216.82:53281	2018-08-24 12:22:57.805887	0	1	0
83.144.67.2:21231	2018-08-24 12:24:04.667301	0	1	1
176.99.114.47:6666	2018-08-24 12:24:20.459385	1	0	0
140.227.54.68:3129	2018-08-24 12:24:33.624972	1	0	0
167.99.166.163:8080	2018-08-24 12:24:37.017341	1	0	0
185.133.225.210:21231	2018-08-24 12:24:51.600008	1	0	0
140.227.53.72:3129	2018-08-24 12:24:59.293576	1	0	0
201.16.148.169:8080	2018-08-24 12:25:05.570922	1	0	0
185.93.3.123:8080	2018-08-24 12:25:07.109356	0	1	0
05.197.183.222:8080	2018-08-24 12:25:14.057262	1	0	0
185.133.226.154:21231	2018-08-24 12:25:31.510211	1	0	0
103.80.240.126:8080	2018-08-24 12:26:38.371787	1	0	1
93.179.66.57:8080	2018-08-24 12:26:50.852531	1	0	0
91.241.40.210:41258	2018-08-24 12:27:41.089331	1	0	0
140.227.56.100:3128	2018-08-24 12:27:43.873636	0	1	0
78.188.91.98:21231	2018-08-24 12:28:05.214981	1	0	0
94.101.140.10:21231	2018-08-24 12:28:13.098999	1	0	0
103.88.142.54:21231	2018-08-24 12:28:26.215305	1	0	0
182.55.250.98:80	2018-08-24 12:33:00.471332	1	0	0
183.90.70.134:80	2018-08-24 12:37:29.597677	1	0	1
93.91.196.30:8080	2018-08-24 12:37:49.621933	1	0	0
197.255.216.26:8080	2018-08-24 12:37:56.922390	1	0	0
92.242.255.85:21213	2018-08-24 12:40:37.850984	1	0	1
200.124.59.116:53281	2018-08-24 12:40:55.748951	1	0	0
78.108.108.192:21231	2018-08-24 12:41:14.770069	1	0	1
95.67.174.94:8080	2018-08-24 12:41:25.212663	1	0	0
105.22.72.110:8080	2018-08-24 12:41:42.160469	1	0	0
172.92.73.61:53281	2018-08-24 12:41:54.858796	1	0	0
37.247.28.21:21231	2018-08-24 12:42:08.826858	1	0	0
103.204.231.166:21776	2018-08-24 12:42:15.537706	0	1	0
78.156.225.170:41258	2018-08-24 12:42:25.577580	1	0	0
41.78.216.82:53281	2018-08-24 12:42:30.694194	0	1	0
83.144.67.2:21231	2018-08-24 12:42:52.606146	1	0	0
176.99.114.47:6666	2018-08-24 12:43:13.679795	1	0	0
140.227.54.68:3129	2018-08-24 12:43:19.077683	1	0	0
167.99.166.163:8080	2018-08-24 12:43:21.948551	1	0	0
